txn_ref,value_date,description,credit_amount_inr,currency
BNKB59BEBC37DF85F,2026-07-17,NEFT CR-SBIN2783254884,29778.00,INR
BNKC5B190C03D7959,2026-07-16,NEFT CR-UTIB1742124101,15851.00,INR
BNKAF577B50862754,2026-07-03,NEFT CR-ICIC8554956941,14015.00,INR
BNKCFEDFA81C64F50,2026-07-15,NEFT CR-AXIB9063360630,32720.00,INR
BNKA40CEDDDAE2C56,2026-08-05,NEFT CR-AXIB6151439410,24416.92,INR
BNKFDF626217E9A5F,2026-07-10,NEFT CR-UTIB7330046134,27402.74,INR
BNK7C799C9BED3C57,2026-07-18,NEFT CR-AXIB4913640197,20928.79,INR
BNKADE3BC81685351,2026-07-07,NEFT CR-HDFC8229009451,2079.28,INR
BNK4D704AD33F9159,2026-07-15,NEFT CREDIT REF 714354267,37024.00,INR
BNKBBD4CAA519AD5C,2026-07-05,NEFT CR-ICIC5551146132,38302.59,INR
BNKB7B5FE7BDE5D50,2026-08-11,NEFT CREDIT REF 824318577,2933.00,INR
BNK4F73B97F15C25D,2026-07-02,NEFT CR-HDFC4644030336,5417.00,INR
BNKAD89578B45005C,2026-07-18,NEFT CR-HDFC5846219555,31679.92,INR
BNKFE740E231EF054,2026-07-04,NEFT CREDIT REF 691531464,18717.00,INR
BNK01D4BC07550452,2026-08-05,NEFT CR-SBIN8895485671,40897.96,INR
BNKF32D2DBBF8A653,2026-08-01,NEFT CR-ICIC8542295477,2879.00,INR
BNKDFF62A616CD255,2026-07-16,NEFT CR-UTIB5806158638,25699.00,INR
BNK2F00F0AF2FED54,2026-07-16,NEFT CR-SBIN2235100870,49869.02,INR
BNKFF723A9D6A6C56,2026-08-08,NEFT CR-ICIC7323669480,6570.20,INR
BNK568C9C2909EF57,2026-07-16,NEFT CR-AXIB5461130116,3507.00,INR
BNK7390E30AEC3A5C,2026-07-28,NEFT CREDIT REF 758866176,31761.00,INR
BNKF8CC936F699158,2026-08-05,NEFT CREDIT REF 712469011,44239.00,INR
BNKEACB787B356F57,2026-07-13,NEFT CREDIT REF 599740592,3286.00,INR
BNK96DBBFE15B915F,2026-08-11,NEFT CREDIT REF 907855031,23027.00,INR
BNKEEDB70C4883158,2026-07-15,NEFT CR-UTIB4404414678,24556.00,INR
BNKDD90A04A30D358,2026-08-01,NEFT CREDIT REF 901115984,19086.00,INR
BNK047D3032C7375C,2026-07-08,NEFT CREDIT REF 486878723,4633.00,INR
BNK7BED861E7B7952,2026-07-18,NEFT CR-ICIC4420437723,1113.00,INR
BNKF76BCB79890556,2026-08-01,NEFT CR-UTIB6387369659,30970.00,INR
BNKABDD68863C425A,2026-07-19,NEFT CREDIT REF 520217033,28333.00,INR
BNK4236B07A93735F,2026-07-26,NEFT CR-AXIB3633971711,16382.00,INR
BNKA5AF44AF085359,2026-07-15,NEFT CR-SBIN6325318585,1588.16,INR
BNK1892123BF5CF57,2026-07-27,NEFT CR-HDFC9416470533,13862.00,INR
BNKA1DB3DF3DBCA56,2026-07-08,NEFT CREDIT REF 724700656,8705.00,INR
BNK2D7F6CD4362B5F,2026-07-22,NEFT CR-AXIB3598026864,22567.00,INR
BNK1CA48DE37B4755,2026-07-15,NEFT CR-AXIB2536966003,14458.00,INR
BNK48B1F5F4989757,2026-08-12,NEFT CREDIT REF 930201620,4108.00,INR
BNKF3485601499F5D,2026-07-05,NEFT CREDIT REF 488529514,34629.00,INR
BNK4B042B7D75305C,2026-07-13,NEFT CR-ICIC4597010217,13543.33,INR
BNK7653CF0EF8A053,2026-07-18,NEFT CR-HDFC7850068134,18739.00,INR
BNK07E515848CB055,2026-07-24,NEFT CR-HDFC3509387634,27064.00,INR
BNK4FF340BBD60457,2026-07-27,NEFT CR-UTIB8051938451,4436.00,INR
BNK92C376A83ED859,2026-08-02,NEFT CR-SBIN1675177955,20448.75,INR
BNKBAA6A445E40355,2026-07-18,NEFT CR-ICIC4053305958,37249.00,INR
BNKE8F09CC6C2C355,2026-08-09,NEFT CR-AXIB1509310997,34197.00,INR
BNKAB373C0F60A053,2026-07-19,NEFT CR-ICIC6119071444,16083.00,INR
BNKCDC6B806CD6D58,2026-07-17,NEFT CR-SBIN1816601932,28769.43,INR
BNK42FABAD038855E,2026-07-27,NEFT CR-UTIB3530086114,19627.46,INR
BNKDF15405F60D650,2026-07-10,NEFT CR-UTIB7687521650,20310.00,INR
BNK8FBA52813BA654,2026-07-14,NEFT CR-SBIN4749791571,25766.00,INR
BNK10117710AD4A5B,2026-08-08,NEFT CR-SBIN5694425344,17259.00,INR
BNKB436387AF9205E,2026-07-15,NEFT CR-UTIB4336125575,13605.00,INR
BNK309A47FEF9D957,2026-07-05,NEFT CR-SBIN4862558358,4758.00,INR
BNKF2088E0FBAE854,2026-08-11,NEFT CR-SBIN3972996477,11458.14,INR
BNKF936A376BB045B,2026-07-01,NEFT CR-AXIB3379135244,41133.00,INR
BNK6BF0A1F2A3975F,2026-07-31,NEFT CR-HDFC4601652833,17452.93,INR
BNK010454814FDF52,2026-07-14,NEFT CREDIT REF 377467986,16464.00,INR
BNKE02E7714D5955A,2026-07-29,NEFT CR-SBIN4681300089,20175.60,INR
BNK0185042778405D,2026-07-20,NEFT CREDIT REF 974757248,48286.00,INR
BNKB62F5FEF741453,2026-07-26,NEFT CR-UTIB5655791844,23473.57,INR
BNKDBA28E56D5515B,2026-07-11,NEFT CR-ICIC9569008607,25998.46,INR
BNK23EFDEC1964353,2026-08-08,NEFT CR-ICIC7203306576,1517.00,INR
BNKB3DA6EFAAD2552,2026-07-20,NEFT CR-HDFC4490938894,45291.00,INR
BNK8F072231301C51,2026-07-13,NEFT CR-SBIN4049658738,41625.00,INR
BNK4C4FE41C33225C,2026-07-28,NEFT CREDIT REF 299510740,28113.00,INR
BNKF8FA6D6765225A,2026-08-03,NEFT CR-ICIC5108876152,46526.00,INR
BNK5074073B1BFC5B,2026-08-07,NEFT CR-SBIN1637687299,27882.00,INR
BNK9C08807035D957,2026-07-19,NEFT CR-ICIC4856535655,37977.00,INR
BNK3B1806A09E755C,2026-07-17,NEFT CR-HDFC4016445890,47434.31,INR
BNK76F8C9DA5EB257,2026-07-20,NEFT CR-ICIC8460187726,25505.00,INR
BNK58891FCA9C4152,2026-07-06,NEFT CR-UTIB1830557986,18341.00,INR
BNKA5BAED66D8795D,2026-08-07,NEFT CR-UTIB1521337976,1477.44,INR
BNK5E48A85AC57355,2026-07-07,NEFT CR-UTIB2393170730,7779.00,INR
BNK664B08A2E6B45A,2026-07-02,NEFT CR-UTIB8725473127,11645.00,INR
