ledger_entry_id,invoice_ref,posted_date,gross_amount_inr,fee_amount_inr,tax_amount_inr,refund_amount_inr,currency,narration
LDGC1FDD53B4EC652,INV-28F85FB9691F,2026-07-02,16588.00,0.00,0.00,0.00,INR,INVOICE INV-28F85FB9691F SETTLEMENT
LDGDD09FE83F09E54,INV-0B6BDA31B90B,2026-08-04,27264.00,0.00,0.00,0.00,INR,INVOICE INV-0B6BDA31B90B SETTLEMENT
LDG8CE0296D6BF95A,INV-AE66DE991526,2026-07-05,5058.00,0.00,0.00,0.00,INR,INVOICE INV-AE66DE991526 SETTLEMENT
LDG16EF626AF35358,INV-764C7696A862,2026-07-18,15109.00,0.00,0.00,0.00,INR,INVOICE INV-764C7696A862 SETTLEMENT
LDG2DEAC416DD9B56,INV-104D7360C1DE,2026-07-25,11316.00,11.57,2.08,2715.84,INR,INVOICE INV-104D7360C1DE SETTLEMENT
LDGDBE3595A11BB5D,INV-0FE22CEF1C90,2026-08-02,35843.00,0.00,0.00,0.00,INR,INVOICE INV-0FE22CEF1C90 SETTLEMENT
LDGFC7AF347CCC950,INV-4030697CF3B7,2026-07-20,25428.00,11.76,2.11,0.00,INR,INVOICE INV-4030697CF3B7 SETTLEMENT
LDGB29C9320328D52,INV-BAACF7961C7F,2026-07-03,3829.00,0.00,0.00,0.00,INR,INVOICE INV-BAACF7961C7F SETTLEMENT
LDG87A7F0375A9951,INV-22D3D5273A80,2026-07-18,23512.00,0.00,0.00,0.00,INR,INVOICE INV-22D3D5273A80 SETTLEMENT
LDG3EB65DA815BF56,INV-B8272086C2E3,2026-07-27,48765.00,0.00,0.00,0.00,INR,INVOICE INV-B8272086C2E3 SETTLEMENT
LDG5D1976009EB959,INV-FBF87A087998,2026-07-08,37923.00,0.00,0.00,0.00,INR,INVOICE INV-FBF87A087998 SETTLEMENT
LDG8D8621E15ADA56,INV-C50C5C49676B,2026-08-07,5664.00,0.00,0.00,0.00,INR,INVOICE INV-C50C5C49676B SETTLEMENT
LDG9CEFA632A48C52,INV-0CCB841D2AF7,2026-08-05,21173.00,0.00,0.00,0.00,INR,INVOICE INV-0CCB841D2AF7 SETTLEMENT
LDG489456788BA65E,INV-07ACCAA39177,2026-07-10,17880.00,0.00,0.00,0.00,INR,INVOICE INV-07ACCAA39177 SETTLEMENT
LDG63211BB8F3B058,INV-251856140A89,2026-07-30,24026.00,0.00,0.00,0.00,INR,INVOICE INV-251856140A89 SETTLEMENT
LDGB052A02153E453,INV-4873FFD747B8,2026-08-08,31034.00,10.51,1.89,0.00,INR,INVOICE INV-4873FFD747B8 SETTLEMENT
LDG835A7BEDDBD95F,INV-958790B10FAF,2026-07-04,32258.00,14.83,2.66,0.00,INR,INVOICE INV-958790B10FAF SETTLEMENT
LDGBB1ECD6EEA0A5B,INV-01B17F1AD7A8,2026-07-25,27134.00,0.00,0.00,0.00,INR,INVOICE INV-01B17F1AD7A8 SETTLEMENT
LDG9DC20CFA126754,INV-8988C48F5113,2026-08-14,8772.00,11.69,2.10,3596.52,INR,INVOICE INV-8988C48F5113 SETTLEMENT
LDGA1F332438B5C51,INV-173F67D45D4E,2026-08-07,16662.00,0.00,0.00,0.00,INR,INVOICE INV-173F67D45D4E SETTLEMENT
